price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,city,statezip,total_sqft,age,was_renovated,year_sold
313000,-0.42829026,-0.852630356,-0.861440253,-0.190429236,-0.016911935,-0.070053037,-0.298765802,-0.665948866,-0.565028218,-0.679613805,Shoreline,WA 98133,-0.934319286,0.5315023956859101,1.2106985231950917,2014
342000,-0.42829026,-0.184845281,-0.195160283,-0.077785172,-0.946037146,-0.070053037,-0.298765802,0.8185140938158781,0.15880656574133267,-0.679613805,Kent,WA 98042,-0.416753039,0.16130785447301194,-0.825969456,2014
420000,-0.42829026,0.14904725717813044,-0.116110117,-0.187135061,-0.946037146,-0.070053037,-0.298765802,0.8185140938158781,-0.982153348,1.568821178426248,Bellevue,WA 98008,0.5218840538713754,0.2622700020765296,-0.825969456,2014
550000,0.6850667062250007,0.482939795013773,-0.183867402,-0.118180701,-0.946037146,-0.070053037,-0.298765802,0.8185140938158781,-0.810395942,1.1191341818121483,Redmond,WA 98052,0.2938040126868847,-0.175232638,1.2106985231950917,2014
490000,-1.541647227,-1.520415432,-1.380912772,-0.233197689,-0.946037146,-0.070053037,-0.298765802,-0.665948866,-1.129373982,-0.679613805,Seattle,WA 98115,-1.337845513,1.1036212321058436,1.2106985231950917,2014
335000,-1.541647227,-0.184845281,-0.850147372,-0.339839653,-0.946037146,-0.070053037,-0.298765802,-0.665948866,-0.552759832,-0.679613805,Redmond,WA 98052,-0.925546977,-0.175232638,-0.825969456,2014
482000,0.6850667062250007,0.482939795013773,0.6856844230020928,0.5900112744803705,0.9122132757440164,-0.070053037,-0.298765802,-0.665948866,1.115740687259292,-0.679613805,Maple Valley,WA 98038,0.267487084857905,-0.612735277,-0.825969456,2014
452500,-0.42829026,0.482939795013773,0.3694837593324101,2.057259534932634,-0.946037146,-0.070053037,-0.298765802,0.8185140938158781,-0.282855336,1.2540402807963782,North Bend,WA 98045,0.7762810228848457,-0.47811908,-0.825969456,2014
640000,0.6850667062250007,-0.184845281,-0.658168398,-0.238222703,-0.016911935,-0.070053037,-0.298765802,-0.665948866,-0.344197267,-0.679613805,Seattle,WA 98115,-0.776417719,0.8680428876976356,1.2106985231950917,2014
463000,-0.42829026,-0.518737818,-0.443603662,-0.206955949,-0.946037146,-0.070053037,-0.298765802,-0.665948866,-0.11109793,-0.679613805,Lake Forest Park,WA 98155,-0.609743843,0.767080740094118,1.2106985231950917,2014
1400000,0.6850667062250007,0.482939795013773,0.9228349207543548,-0.299639541,-0.016911935,-0.070053037,-0.298765802,2.302977053816092,0.13426979339471834,1.591305528256953,Seattle,WA 98105,1.3377088165697457,2.079588658939848,1.2106985231950917,2014
588500,-0.42829026,-0.518737818,0.25655495087895197,0.004429640642578154,-0.946037146,-0.070053037,-0.298765802,-0.665948866,0.20788011043456137,0.12982278926112836,Sammamish,WA 98074,0.2499424663052519,-0.309848834,-0.825969456,2014
365000,-0.42829026,-1.520415432,-1.143762274,-0.231662268,-0.946037146,-0.070053037,-0.298765802,0.8185140938158781,-0.871737873,-0.679613805,Seattle,WA 98106,-1.153627018,0.5315023956859101,1.2106985231950917,2014
1200000,1.798423672871331,0.8168323328494155,0.9115420399090091,-0.146655781,-0.016911935,-0.070053037,-0.298765802,-0.665948866,1.3611084107254356,-0.679613805,Seattle,WA 98105,0.4429332703844363,1.0699671829046709,1.2106985231950917,2014
242500,-0.42829026,-0.852630356,-1.019540585,-0.139955762,-0.946037146,-0.070053037,-0.298765802,0.8185140938158781,-0.736785625,-0.679613805,Kent,WA 98042,-1.057131616,0.19496190367418448,-0.825969456,2014
419000,-0.42829026,-0.852630356,-0.601703993,-0.224264331,-0.946037146,-0.070053037,-0.298765802,0.8185140938158781,-0.282855336,-0.679613805,Bellevue,WA 98007,-0.732556173,0.49784834648473747,-0.825969456,2014
367500,0.6850667062250007,1.150724870685058,1.1373996568159253,-0.209440539,0.9122132757440164,-0.070053037,-0.298765802,-0.665948866,1.606476134191579,-0.679613805,Auburn,WA 98092,0.6183794559109675,-0.881967671,-0.825969456,2014
257950,-0.42829026,-0.518737818,-0.82756161,-0.24777023,-0.946037146,-0.070053037,-0.298765802,-0.665948866,-0.52822306,-0.679613805,Des Moines,WA 98198,-0.908002358,-0.545427179,1.2106985231950917,2014
275000,-0.42829026,-0.852630356,-1.042126346,-0.124406135,-0.946037146,-0.070053037,-0.298765802,-0.665948866,-0.761322397,-0.679613805,North Bend,WA 98045,-1.074676234,-0.410810982,1.2106985231950917,2014
750000,-0.42829026,-0.518737818,0.1549190232708397,-0.116003195,0.9122132757440164,-0.070053037,-0.298765802,2.302977053816092,-0.307392109,0.8718063336743933,Seattle,WA 98115,0.4604778889370894,1.6084319701234318,-0.825969456,2014
435000,0.6850667062250007,-1.520415432,-0.737218564,-0.165639167,-0.946037146,-0.070053037,-0.298765802,0.8185140938158781,-0.430075971,-0.679613805,Bellevue,WA 98006,-0.837823884,0.5651564448870826,1.2106985231950917,2014
626000,-0.42829026,0.14904725717813044,-0.398432138,-0.367421397,1.8413384865120006,-0.070053037,-0.298765802,-0.665948866,-0.405539198,-0.050052009,Seattle,WA 98102,-0.329029946,-1.151200064,-0.825969456,2014
612500,0.6850667062250007,0.482939795013773,0.7082701846927845,-0.069019314,0.9122132757440164,-0.070053037,-0.298765802,-0.665948866,1.1402774596059064,-0.679613805,Bothell,WA 98011,0.28503170341055817,-0.680043376,-0.825969456,2014
